ID	Name	Height	Result	NgType	Time	
1	C1	447.83	NG	虚焊	2017-08-14 21:26:01	
2	Bga2	388.08	OK	虚焊	2017-08-14 21:26:01	
3	Bga1	507.80	OK	立碑	2017-08-14 21:26:02	
4	IC2	459.20	NG	脚翘	2017-08-14 21:26:02	
5	R1	484.66	OK	多锡	2017-08-14 21:26:02	
6	Bga2	374.23	OK	桥联	2017-08-14 21:26:02	
7	C2	415.74	OK	错料	2017-08-14 21:26:02	
8	Bga2	588.47	NG	多锡	2017-08-14 21:26:02	
9	R2	306.88	OK	偏移	2017-08-14 21:26:02	
10	R1	504.35	OK	多锡	2017-08-14 21:26:02	
11	IC1	437.02	OK	偏移	2017-08-14 21:26:02	
12	IC1	463.42	OK	翻件	2017-08-14 21:26:02	
13	IC1	355.09	NG	虚焊	2017-08-14 21:26:02	
14	IC1	339.85	NG	异物	2017-08-14 21:26:02	
15	C2	510.43	NG	多锡	2017-08-14 21:26:02	
16	R1	493.42	NG	缺件	2017-08-14 21:26:02	
17	R2	433.10	OK	错料	2017-08-14 21:26:02	
18	IC1	365.65	OK	错料	2017-08-14 21:26:02	
19	C1	446.01	NG	桥联	2017-08-14 21:26:02	
20	C1	580.70	NG	立碑	2017-08-14 21:26:02	
