ID	Name	Height	Result	NgType	Time	
1	Bga1	583.31	NG	立碑	2017-08-14 21:25:56	
2	R1	468.38	OK	翻件	2017-08-14 21:25:56	
3	C2	492.75	OK	异物	2017-08-14 21:25:56	
4	Bga1	317.13	OK	异物	2017-08-14 21:25:56	
5	C2	378.09	OK	虚焊	2017-08-14 21:25:56	
6	R1	536.24	OK	错料	2017-08-14 21:25:56	
7	R2	528.15	OK	异物	2017-08-14 21:25:56	
8	IC1	340.78	NG	偏移	2017-08-14 21:25:56	
9	R1	363.05	OK	脚翘	2017-08-14 21:25:56	
10	Bga2	321.50	NG	虚焊	2017-08-14 21:25:56	
11	R1	377.55	OK	异物	2017-08-14 21:25:56	
12	R2	554.34	OK	虚焊	2017-08-14 21:25:56	
13	IC1	365.86	OK	错料	2017-08-14 21:25:56	
14	R1	433.26	OK	翻件	2017-08-14 21:25:56	
15	Bga1	430.31	OK	桥联	2017-08-14 21:25:56	
16	IC2	376.47	OK	桥联	2017-08-14 21:25:56	
17	Bga2	417.06	OK	异物	2017-08-14 21:25:56	
18	Bga1	582.19	OK	桥联	2017-08-14 21:25:56	
19	C2	302.79	NG	缺件	2017-08-14 21:25:56	
20	C2	434.06	OK	翻件	2017-08-14 21:25:56	
