ID	Name	Height	Result	NgType	Time	
1	C1	512.01	OK	桥联	2017-08-14 21:26:01	
2	IC1	560.43	NG	立碑	2017-08-14 21:26:01	
3	R2	500.85	NG	缺件	2017-08-14 21:26:02	
4	R2	590.02	OK	多锡	2017-08-14 21:26:02	
5	Bga1	347.27	OK	错料	2017-08-14 21:26:02	
6	C2	453.11	OK	多锡	2017-08-14 21:26:02	
7	Bga2	415.81	NG	立碑	2017-08-14 21:26:02	
8	IC1	307.77	OK	翻件	2017-08-14 21:26:02	
9	R2	504.14	NG	多锡	2017-08-14 21:26:02	
10	C1	384.89	OK	立碑	2017-08-14 21:26:02	
11	C1	574.79	NG	偏移	2017-08-14 21:26:02	
12	IC2	306.78	OK	异物	2017-08-14 21:26:02	
13	IC1	568.13	OK	脚翘	2017-08-14 21:26:02	
14	C2	567.86	NG	立碑	2017-08-14 21:26:02	
15	IC2	331.10	OK	立碑	2017-08-14 21:26:02	
16	IC1	373.33	OK	异物	2017-08-14 21:26:02	
17	C1	357.45	NG	脚翘	2017-08-14 21:26:02	
18	R2	356.33	NG	缺件	2017-08-14 21:26:02	
19	IC1	351.05	OK	脚翘	2017-08-14 21:26:02	
20	C2	472.25	NG	立碑	2017-08-14 21:26:02	
