ID	Name	Height	Result	NgType	Time	
1	C1	456.67	OK	脚翘	2017-08-14 15:34:17	
2	C2	479.61	NG	多锡	2017-08-14 15:34:17	
3	IC2	584.24	NG	虚焊	2017-08-14 15:34:17	
4	IC1	567.50	NG	缺件	2017-08-14 15:34:17	
5	Bga2	583.74	OK	虚焊	2017-08-14 15:34:17	
6	IC2	331.12	OK	错料	2017-08-14 15:34:17	
7	IC2	549.94	NG	缺件	2017-08-14 15:34:17	
8	R1	544.64	OK	异物	2017-08-14 15:34:17	
9	R1	443.40	OK	错料	2017-08-14 15:34:17	
10	IC1	590.64	OK	立碑	2017-08-14 15:34:17	
11	IC2	343.35	OK	桥联	2017-08-14 15:34:17	
12	Bga1	350.53	NG	错料	2017-08-14 15:34:17	
13	IC1	375.96	NG	多锡	2017-08-14 15:34:17	
14	R2	490.41	OK	错料	2017-08-14 15:34:17	
15	IC2	513.48	NG	虚焊	2017-08-14 15:34:17	
16	Bga1	409.50	OK	异物	2017-08-14 15:34:17	
17	R1	450.72	OK	桥联	2017-08-14 15:34:17	
18	IC1	360.91	OK	立碑	2017-08-14 15:34:17	
19	IC2	467.45	NG	错料	2017-08-14 15:34:17	
20	R1	502.66	OK	立碑	2017-08-14 15:34:17	
