Name    Lib    X-shift    Y-shift    Height    Result    Confirm 
chip-001    chip-0603-lib    463um    303um    212um    x-misalign    x-misalign 
chip-002    chip-0603-lib    -281um    -284um    25um    OK    OK 
chip-003    chip-0402-lib    474um    209um    124um    x-misalign    OK 
chip-004    chip-1005-lib    278um    -258um    244um    OK    OK 
chip-005    chip-01005-lib    -325um    -144um    311um    OK    OK 
chip-006    chip-0603-lib    461um    470um    190um    x-misalign    OK 
chip-007    chip-0402-lib    50um    -404um    300um    y-misalign    x-misalign 
chip-008    chip-1005-lib    398um    411um    408um    y-misalign    OK 
chip-009    chip-0603-lib    253um    -59um    189um    OK    OK 
chip-010    chip-1005-lib    -171um    212um    461um    OK    OK 
chip-011    chip-0603-lib    459um    -56um    60um    x-misalign    OK 
chip-012    chip-0201-lib    -12um    148um    33um    OK    OK 
chip-013    chip-0402-lib    -74um    -494um    453um    y-misalign    OK 
chip-014    chip-0402-lib    -216um    136um    12um    missing    missing 
chip-015    chip-0201-lib    -23um    -364um    79um    OK    OK 
chip-016    chip-01005-lib    488um    178um    222um    x-misalign    OK 
chip-017    chip-0402-lib    366um    74um    421um    OK    OK 
chip-018    chip-0201-lib    -494um    102um    319um    x-misalign    OK 
chip-019    chip-0402-lib    -160um    366um    441um    OK    OK 
chip-020    chip-1005-lib    -4um    -441um    449um    y-misalign    OK 
chip-021    chip-01005-lib    146um    376um    52um    OK    OK 
chip-022    chip-0402-lib    -468um    450um    299um    x-misalign    OK 
chip-023    chip-1005-lib    -381um    -410um    162um    y-misalign    y-misalign 
chip-024    chip-1005-lib    160um    -239um    485um    wrong-part    wrong-part 
chip-025    chip-0402-lib    -281um    -320um    72um    OK    OK 
chip-026    chip-0603-lib    -309um    -127um    485um    wrong-part    wrong-part 
chip-027    chip-01005-lib    322um    37um    15um    missing    OK 
chip-028    chip-1005-lib    -189um    -406um    101um    y-misalign    OK 
chip-029    chip-01005-lib    286um    -441um    267um    y-misalign    y-misalign 
chip-030    chip-0402-lib    456um    -403um    63um    x-misalign    OK 
chip-031    chip-1005-lib    -201um    -108um    37um    OK    OK 
chip-032    chip-0402-lib    96um    -269um    176um    OK    OK 
chip-033    chip-0201-lib    -337um    431um    403um    y-misalign    y-misalign 
chip-034    chip-0402-lib    447um    -73um    317um    x-misalign    x-misalign 
chip-035    chip-1005-lib    471um    -383um    425um    x-misalign    x-misalign 
chip-036    chip-01005-lib    197um    305um    252um    OK    OK 
chip-037    chip-01005-lib    276um    -73um    210um    OK    OK 
chip-038    chip-01005-lib    -285um    -36um    40um    OK    OK 
chip-039    chip-01005-lib    -309um    -276um    163um    OK    OK 
chip-040    chip-0603-lib    70um    -234um    317um    OK    OK 
chip-041    chip-0603-lib    -147um    -103um    316um    OK    OK 
chip-042    chip-0603-lib    109um    394um    135um    OK    OK 
chip-043    chip-01005-lib    -155um    -353um    436um    OK    OK 
chip-044    chip-01005-lib    237um    85um    492um    wrong-part    OK 
chip-045    chip-0201-lib    -160um    79um    44um    OK    OK 
chip-046    chip-0402-lib    184um    -285um    246um    OK    OK 
chip-047    chip-1005-lib    -303um    -163um    428um    OK    OK 
chip-048    chip-0603-lib    -165um    243um    462um    OK    OK 
chip-049    chip-0603-lib    -69um    115um    148um    OK    OK 
chip-050    chip-0201-lib    311um    -233um    223um    OK    OK 
chip-051    chip-0603-lib    -71um    305um    264um    OK    OK 
chip-052    chip-01005-lib    242um    -331um    224um    OK    OK 
chip-053    chip-0402-lib    475um    -419um    362um    x-misalign    OK 
chip-054    chip-0603-lib    -259um    12um    366um    OK    OK 
chip-055    chip-01005-lib    298um    -20um    403um    OK    OK 
chip-056    chip-0201-lib    -458um    490um    147um    x-misalign    x-misalign 
chip-057    chip-0402-lib    25um    -157um    174um    OK    OK 
chip-058    chip-01005-lib    309um    -228um    184um    OK    OK 
chip-059    chip-01005-lib    -438um    -175um    224um    x-misalign    OK 
chip-060    chip-0603-lib    106um    -110um    202um    OK    OK 
chip-061    chip-1005-lib    47um    -438um    361um    y-misalign    OK 
chip-062    chip-0201-lib    -83um    -136um    252um    OK    OK 
chip-063    chip-0402-lib    355um    -78um    435um    OK    OK 
chip-064    chip-1005-lib    30um    74um    276um    OK    OK 
chip-065    chip-0603-lib    -26um    -86um    127um    OK    OK 
chip-066    chip-0402-lib    -24um    29um    147um    OK    OK 
chip-067    chip-0402-lib    -145um    314um    361um    OK    OK 
chip-068    chip-01005-lib    -150um    199um    192um    OK    OK 
chip-069    chip-1005-lib    -320um    -324um    237um    OK    OK 
chip-070    chip-0402-lib    -478um    211um    439um    x-misalign    x-misalign 
chip-071    chip-01005-lib    325um    -156um    465um    OK    OK 
chip-072    chip-1005-lib    -19um    -85um    92um    OK    OK 
