Name    Lib    X-shift    Y-shift    Height    Result    Confirm 
chip-001    chip-01005-lib    478um    44um    186um    x-misalign    OK 
chip-002    chip-1005-lib    -474um    343um    233um    x-misalign    x-misalign 
chip-003    chip-0402-lib    246um    -21um    390um    OK    OK 
chip-004    chip-0201-lib    -192um    -342um    464um    OK    OK 
chip-005    chip-0201-lib    -17um    -404um    367um    y-misalign    y-misalign 
chip-006    chip-0402-lib    -364um    -268um    230um    OK    OK 
chip-007    chip-0603-lib    -239um    -131um    189um    OK    OK 
chip-008    chip-0402-lib    -186um    312um    35um    OK    OK 
chip-009    chip-0201-lib    -423um    399um    238um    x-misalign    x-misalign 
chip-010    chip-0603-lib    114um    12um    101um    OK    OK 
chip-011    chip-01005-lib    -353um    472um    299um    y-misalign    OK 
chip-012    chip-0603-lib    393um    489um    449um    y-misalign    OK 
chip-013    chip-0201-lib    -426um    164um    411um    x-misalign    OK 
chip-014    chip-0402-lib    335um    290um    382um    OK    OK 
chip-015    chip-1005-lib    -382um    -303um    366um    OK    OK 
chip-016    chip-0201-lib    -364um    364um    412um    OK    OK 
chip-017    chip-0201-lib    491um    70um    383um    x-misalign    x-misalign 
chip-018    chip-1005-lib    357um    -61um    111um    OK    OK 
chip-019    chip-0201-lib    -329um    14um    129um    OK    OK 
chip-020    chip-01005-lib    454um    382um    360um    x-misalign    x-misalign 
chip-021    chip-01005-lib    -137um    -90um    52um    OK    OK 
chip-022    chip-0201-lib    -162um    174um    150um    OK    OK 
chip-023    chip-0603-lib    241um    -450um    241um    y-misalign    y-misalign 
chip-024    chip-0402-lib    -229um    151um    220um    OK    OK 
chip-025    chip-1005-lib    139um    54um    141um    OK    OK 
chip-026    chip-1005-lib    295um    194um    264um    OK    OK 
chip-027    chip-01005-lib    -47um    90um    473um    OK    OK 
chip-028    chip-01005-lib    -30um    312um    188um    OK    OK 
chip-029    chip-01005-lib    -103um    277um    245um    OK    OK 
chip-030    chip-0201-lib    367um    145um    196um    OK    OK 
chip-031    chip-0201-lib    -282um    -399um    55um    OK    OK 
chip-032    chip-01005-lib    -163um    409um    338um    y-misalign    y-misalign 
chip-033    chip-01005-lib    210um    -428um    423um    y-misalign    y-misalign 
chip-034    chip-01005-lib    -449um    -24um    426um    x-misalign    OK 
chip-035    chip-01005-lib    41um    -285um    194um    OK    OK 
chip-036    chip-0603-lib    -499um    187um    180um    x-misalign    OK 
chip-037    chip-1005-lib    -405um    214um    17um    missing    missing 
chip-038    chip-01005-lib    -485um    329um    278um    x-misalign    OK 
chip-039    chip-1005-lib    -6um    311um    9um    missing    OK 
chip-040    chip-01005-lib    76um    225um    74um    OK    OK 
chip-041    chip-1005-lib    340um    -57um    342um    OK    OK 
chip-042    chip-01005-lib    282um    30um    274um    OK    OK 
chip-043    chip-01005-lib    -212um    122um    498um    wrong-part    wrong-part 
chip-044    chip-01005-lib    12um    -38um    60um    OK    OK 
chip-045    chip-0402-lib    285um    -91um    139um    OK    OK 
chip-046    chip-0603-lib    324um    -62um    371um    OK    OK 
chip-047    chip-0402-lib    -347um    -366um    178um    OK    OK 
chip-048    chip-0402-lib    25um    -374um    438um    OK    OK 
chip-049    chip-0603-lib    -277um    323um    128um    OK    OK 
chip-050    chip-0201-lib    86um    133um    289um    OK    OK 
chip-051    chip-0402-lib    -483um    495um    50um    x-misalign    OK 
chip-052    chip-01005-lib    -301um    -341um    300um    OK    OK 
chip-053    chip-01005-lib    -188um    -209um    348um    OK    OK 
chip-054    chip-01005-lib    -15um    -13um    347um    OK    OK 
chip-055    chip-0201-lib    -285um    -58um    133um    OK    OK 
chip-056    chip-0603-lib    -279um    377um    298um    OK    OK 
chip-057    chip-0402-lib    -317um    4um    23um    OK    OK 
chip-058    chip-0402-lib    217um    -71um    258um    OK    OK 
chip-059    chip-01005-lib    436um    286um    279um    x-misalign    OK 
chip-060    chip-1005-lib    -67um    -113um    199um    OK    OK 
chip-061    chip-1005-lib    -192um    -311um    239um    OK    OK 
chip-062    chip-0201-lib    -402um    -226um    326um    x-misalign    x-misalign 
chip-063    chip-1005-lib    -325um    56um    360um    OK    OK 
chip-064    chip-0201-lib    446um    356um    135um    x-misalign    OK 
chip-065    chip-01005-lib    238um    -293um    50um    OK    OK 
chip-066    chip-0201-lib    -282um    171um    189um    OK    OK 
chip-067    chip-01005-lib    -237um    111um    111um    OK    OK 
chip-068    chip-0201-lib    -62um    -54um    251um    OK    OK 
chip-069    chip-01005-lib    -72um    -118um    483um    wrong-part    OK 
chip-070    chip-1005-lib    -282um    58um    372um    OK    OK 
chip-071    chip-0402-lib    495um    -354um    100um    x-misalign    OK 
chip-072    chip-1005-lib    -39um    -171um    4um    missing    OK 
chip-073    chip-01005-lib    -230um    75um    325um    OK    OK 
chip-074    chip-0402-lib    -425um    461um    432um    x-misalign    OK 
chip-075    chip-0603-lib    202um    -494um    45um    y-misalign    y-misalign 
chip-076    chip-1005-lib    -29um    -433um    327um    y-misalign    OK 
chip-077    chip-1005-lib    180um    -278um    271um    OK    OK 
chip-078    chip-0402-lib    -241um    486um    353um    y-misalign    OK 
chip-079    chip-1005-lib    -470um    -352um    367um    x-misalign    x-misalign 
chip-080    chip-0201-lib    -120um    -462um    81um    y-misalign    OK 
chip-081    chip-0603-lib    -493um    408um    416um    x-misalign    x-misalign 
chip-082    chip-1005-lib    491um    394um    15um    missing    OK 
chip-083    chip-0402-lib    96um    6um    314um    OK    OK 
chip-084    chip-0201-lib    126um    471um    176um    y-misalign    y-misalign 
chip-085    chip-0603-lib    429um    421um    224um    x-misalign    x-misalign 
chip-086    chip-0402-lib    -334um    181um    416um    OK    OK 
chip-087    chip-0201-lib    398um    -301um    308um    OK    OK 
chip-088    chip-0402-lib    445um    75um    484um    x-misalign    OK 
chip-089    chip-0201-lib    275um    146um    411um    OK    OK 
chip-090    chip-0603-lib    -381um    -218um    497um    wrong-part    OK 
chip-091    chip-0201-lib    -466um    -220um    490um    x-misalign    x-misalign 
chip-092    chip-1005-lib    -461um    34um    97um    x-misalign    missing 
chip-093    chip-0201-lib    480um    -492um    336um    x-misalign    OK 
chip-094    chip-01005-lib    64um    -191um    296um    OK    OK 
chip-095    chip-0603-lib    172um    141um    297um    OK    OK 
chip-096    chip-0603-lib    144um    -446um    172um    y-misalign    y-misalign 
chip-097    chip-0603-lib    -193um    -98um    227um    OK    OK 
chip-098    chip-01005-lib    -64um    369um    362um    OK    OK 
chip-099    chip-0402-lib    356um    -422um    456um    y-misalign    OK 
chip-100    chip-0402-lib    -455um    -252um    94um    x-misalign    y-misalign 
chip-101    chip-0201-lib    311um    113um    139um    OK    OK 
chip-102    chip-0402-lib    -164um    -174um    147um    OK    OK 
chip-103    chip-0201-lib    -111um    -282um    473um    OK    OK 
chip-104    chip-0402-lib    -190um    284um    85um    OK    OK 
chip-105    chip-01005-lib    391um    13um    314um    OK    OK 
chip-106    chip-0201-lib    -486um    -255um    382um    x-misalign    OK 
chip-107    chip-1005-lib    -406um    -216um    500um    x-misalign    x-misalign 
chip-108    chip-0201-lib    118um    -94um    338um    OK    OK 
chip-109    chip-0201-lib    117um    -248um    319um    OK    OK 
chip-110    chip-0201-lib    -435um    90um    52um    x-misalign    x-misalign 
chip-111    chip-0201-lib    230um    360um    132um    OK    OK 
chip-112    chip-0402-lib    -206um    -157um    368um    OK    OK 
chip-113    chip-0201-lib    -120um    455um    209um    y-misalign    y-misalign 
chip-114    chip-01005-lib    144um    -296um    459um    OK    OK 
chip-115    chip-0402-lib    4um    464um    178um    y-misalign    y-misalign 
chip-116    chip-1005-lib    310um    -196um    368um    OK    OK 
chip-117    chip-0201-lib    -306um    -118um    369um    OK    OK 
chip-118    chip-1005-lib    49um    142um    20um    OK    OK 
chip-119    chip-0603-lib    192um    443um    118um    y-misalign    OK 
chip-120    chip-1005-lib    93um    416um    313um    y-misalign    y-misalign 
