ID	Name	Height	Result	NgType	Time	
1	R2	370.45	OK	立碑	2017-08-14 21:23:51	
2	C1	344.38	NG	脚翘	2017-08-14 21:23:51	
3	IC2	316.22	OK	异物	2017-08-14 21:23:51	
4	C2	467.99	NG	桥联	2017-08-14 21:23:51	
5	R2	593.88	NG	错料	2017-08-14 21:23:51	
6	Bga2	389.07	OK	错料	2017-08-14 21:23:51	
7	IC2	533.50	OK	虚焊	2017-08-14 21:23:51	
8	Bga1	405.78	OK	错料	2017-08-14 21:23:51	
9	IC1	586.93	NG	虚焊	2017-08-14 21:23:51	
10	R1	573.96	OK	桥联	2017-08-14 21:23:51	
11	Bga2	310.77	NG	翻件	2017-08-14 21:23:51	
12	IC1	341.43	OK	桥联	2017-08-14 21:23:51	
13	Bga1	578.14	OK	多锡	2017-08-14 21:23:51	
14	Bga2	429.62	OK	虚焊	2017-08-14 21:23:51	
15	Bga2	469.88	OK	桥联	2017-08-14 21:23:51	
16	Bga1	516.51	OK	翻件	2017-08-14 21:23:51	
17	R2	453.36	NG	虚焊	2017-08-14 21:23:51	
18	C2	310.37	NG	立碑	2017-08-14 21:23:51	
19	Bga2	572.59	NG	错料	2017-08-14 21:23:51	
20	IC2	461.81	OK	多锡	2017-08-14 21:23:51	
