ID   Name  Height    Result    NgType         			Time            
1    C1    404.76    OK        N/A            			2017-08-14 21:21:31 
2    C2    478.71    NG        多锡         			2017-08-14 21:21:31 
3    C1    553.22    OK        N/A            			2017-08-14 21:21:31 
4    BGA2  320.40    NG        立碑         			2017-08-14 21:21:31 
5    IC2   573.27    OK        N/A            			2017-08-14 21:21:31 
6    BGA2  537.21    OK        N/A            			2017-08-14 21:21:31 
7    BGA1  565.73    NG        错料         			2017-08-14 21:21:31 
8    BGA1  313.53    OK        N/A            			2017-08-14 21:21:31 
9    R1    472.64    OK        N/A            			2017-08-14 21:21:31 
10   BGA1  425.24    NG        立碑         			2017-08-14 21:21:31 
11   R2    468.14    OK        N/A            			2017-08-14 21:21:31 
12   IC2   520.14    NG        虚焊         			2017-08-14 21:21:31 
13   C2    330.85    OK        N/A            			2017-08-14 21:21:31 
14   BGA2  549.48    NG        错料         			2017-08-14 21:21:31 
15   R1    512.69    OK        N/A            			2017-08-14 21:21:31 
16   R2    557.73    OK        N/A            			2017-08-14 21:21:31 
17   BGA2  599.26    NG        偏移         			2017-08-14 21:21:31 
18   C1    595.16    NG        错料         			2017-08-14 21:21:31 
19   IC1   567.01    OK        N/A            			2017-08-14 21:21:31 
20   R2    414.76    NG        翻件         			2017-08-14 21:21:31 
