ID   Name  Height    Result    NgType         			Time            
1    R2    478.87    OK        N/A            			2017-08-14 21:21:21 
2    IC2   541.67    OK        N/A            			2017-08-14 21:21:21 
3    R1    368.50    NG        缺件         			2017-08-14 21:21:21 
4    C2    515.77    OK        N/A            			2017-08-14 21:21:21 
5    BGA2  433.00    NG        异物         			2017-08-14 21:21:21 
6    R2    563.97    OK        N/A            			2017-08-14 21:21:21 
7    IC2   374.59    OK        N/A            			2017-08-14 21:21:21 
8    IC1   561.64    NG        异物         			2017-08-14 21:21:21 
9    R1    494.35    NG        立碑         			2017-08-14 21:21:21 
10   BGA2  544.06    OK        N/A            			2017-08-14 21:21:21 
11   BGA2  507.45    OK        N/A            			2017-08-14 21:21:21 
12   C1    410.54    NG        异物         			2017-08-14 21:21:21 
13   BGA2  442.79    NG        异物         			2017-08-14 21:21:21 
14   C1    399.94    OK        N/A            			2017-08-14 21:21:21 
15   BGA2  557.48    OK        N/A            			2017-08-14 21:21:21 
16   C1    484.06    OK        N/A            			2017-08-14 21:21:21 
17   R2    498.44    OK        N/A            			2017-08-14 21:21:21 
18   R1    358.65    NG        脚翘         			2017-08-14 21:21:21 
19   C1    398.43    NG        虚焊         			2017-08-14 21:21:21 
20   C1    454.44    OK        N/A            			2017-08-14 21:21:21 
