ID   Name  Height    Result    NgType         			Time            
1    IC2   305.20    OK        N/A            			2017-08-14 21:21:31 
2    BGA2  485.26    OK        N/A            			2017-08-14 21:21:31 
3    R2    596.25    NG        错料         			2017-08-14 21:21:31 
4    R1    403.22    NG        翻件         			2017-08-14 21:21:31 
5    IC2   371.23    NG        脚翘         			2017-08-14 21:21:31 
6    R2    597.38    NG        错料         			2017-08-14 21:21:31 
7    BGA2  362.02    NG        翻件         			2017-08-14 21:21:31 
8    IC1   325.34    OK        N/A            			2017-08-14 21:21:31 
9    BGA1  583.18    OK        N/A            			2017-08-14 21:21:31 
10   R2    543.29    OK        N/A            			2017-08-14 21:21:31 
11   C1    423.89    OK        N/A            			2017-08-14 21:21:31 
12   IC1   379.39    NG        错料         			2017-08-14 21:21:31 
13   BGA1  468.46    NG        偏移         			2017-08-14 21:21:31 
14   BGA2  415.75    OK        N/A            			2017-08-14 21:21:31 
15   IC1   506.30    NG        异物         			2017-08-14 21:21:31 
16   R1    438.40    NG        翻件         			2017-08-14 21:21:31 
17   C1    593.75    OK        N/A            			2017-08-14 21:21:31 
18   IC2   523.41    NG        虚焊         			2017-08-14 21:21:31 
19   C1    534.76    OK        N/A            			2017-08-14 21:21:31 
20   BGA1  442.84    OK        N/A            			2017-08-14 21:21:31 
