ID   Name  Height    Result    NgType         			Time            
1    C2    564.42    OK        N/A            			2017-08-14 21:21:21 
2    C1    300.74    OK        N/A            			2017-08-14 21:21:21 
3    IC2   571.89    NG        桥联         			2017-08-14 21:21:21 
4    IC2   560.89    NG        多锡         			2017-08-14 21:21:21 
5    C1    331.98    OK        N/A            			2017-08-14 21:21:21 
6    IC2   422.72    NG        偏移         			2017-08-14 21:21:21 
7    IC1   560.52    OK        N/A            			2017-08-14 21:21:21 
8    IC2   320.44    NG        脚翘         			2017-08-14 21:21:21 
9    R1    460.29    OK        N/A            			2017-08-14 21:21:21 
10   C1    557.76    OK        N/A            			2017-08-14 21:21:21 
11   IC2   530.69    OK        N/A            			2017-08-14 21:21:21 
12   R2    584.84    OK        N/A            			2017-08-14 21:21:21 
13   IC1   543.45    OK        N/A            			2017-08-14 21:21:21 
14   C1    456.45    OK        N/A            			2017-08-14 21:21:21 
15   R1    339.09    NG        异物         			2017-08-14 21:21:21 
16   BGA1  399.60    OK        N/A            			2017-08-14 21:21:21 
17   C2    482.66    NG        脚翘         			2017-08-14 21:21:21 
18   IC1   338.76    OK        N/A            			2017-08-14 21:21:21 
19   R1    522.73    OK        N/A            			2017-08-14 21:21:21 
20   BGA1  318.53    NG        脚翘         			2017-08-14 21:21:21 
