ID   Name  Height    Result    NgType         			Time            
1    R1    572.54    OK        N/A            			2017-08-14 21:21:26 
2    R1    435.56    OK        N/A            			2017-08-14 21:21:26 
3    C2    583.75    NG        立碑         			2017-08-14 21:21:26 
4    C2    320.80    OK        N/A            			2017-08-14 21:21:26 
5    R1    562.78    OK        N/A            			2017-08-14 21:21:26 
6    C1    367.67    NG        翻件         			2017-08-14 21:21:26 
7    R2    570.04    OK        N/A            			2017-08-14 21:21:26 
8    C1    326.96    OK        N/A            			2017-08-14 21:21:26 
9    BGA1  572.43    OK        N/A            			2017-08-14 21:21:26 
10   IC2   441.76    OK        N/A            			2017-08-14 21:21:26 
11   C2    512.69    NG        翻件         			2017-08-14 21:21:26 
12   BGA2  427.66    OK        N/A            			2017-08-14 21:21:26 
13   IC1   558.32    OK        N/A            			2017-08-14 21:21:26 
14   R2    498.80    OK        N/A            			2017-08-14 21:21:26 
15   C2    537.87    NG        错料         			2017-08-14 21:21:26 
16   BGA2  429.89    NG        多锡         			2017-08-14 21:21:26 
17   IC2   465.84    OK        N/A            			2017-08-14 21:21:26 
18   R1    430.26    NG        异物         			2017-08-14 21:21:26 
19   BGA2  522.66    OK        N/A            			2017-08-14 21:21:26 
20   R2    593.83    OK        N/A            			2017-08-14 21:21:26 
